"Nomor","Keterangan","Jumlah","Volume","Harga","Jenis Barang","Label"
"1440","Samarinda Oven 500 x 6 x 17","1","0.051","520200","Balok","Cukup Laris"
"1441","Samarinda Oven 300 x 6 x 15","1","0.027","251100","Balok","Sangat Laris"
"1442","Samarinda Oven 400 x 3 x 30","2","0.072","363600","Papan","Sangat Laris"
"1443","Samarinda Oven 400 x 4 x 25","2","0.08","396000","Papan","Sangat Laris"
"1444","Samarinda Oven 400 x 6 x 15","1","0.036","334800","Balok","Sangat Laris"
"1445","Meranti Oven  400 x 6 x 12 ","8","0.2304","203040","Balok","Cukup Laris"
"1446","Meranti Oven  400 x 6 x 15","6","0.216","253800","Balok","Sangat Laris"
"1447","SO Merah 400 x 3 x 20","3","0.072","223200","Papan","Sangat Laris"
"1448","Samarinda Oven 500 x 4 x 20","1","0.04","392000","Papan","Sangat Laris"
"1449","Samarinda Oven 500 x 4 x 30","6","0.36","606000","Papan","Cukup Laris"
"1450","Merbau Oven 400 x 6 x 12","7","0.2016","578880","Balok","Cukup Laris"
"1451","Samarinda Oven 400 x 3 x 30","2","0.072","363600","Papan","Sangat Laris"
"1452","Samarinda Oven 400 x 4 x 25","1","0.04","396000","Papan","Sangat Laris"
"1453","Samarinda Oven 300 x 6 x 15","4","0.108","257850","Balok","Sangat Laris"
"1454","Samarinda Oven 400 x 4 x 25","3","0.12","406000","Papan","Sangat Laris"
"1455","Samarinda Oven 400 x 4 x 30","2","0.096","496800","Papan","Sangat Laris"
"1456","Samarinda Oven 400 x 5 x 15","7","0.21","298500","Balok","Sangat Laris"
"1457","Samarinda Oven 400 x 6 x 15","11","0.396","334800","Balok","Sangat Laris"
"1458","Merbau Oven 300 x 4 x 25","1","0.03","657000","Papan","Kurang Laris"
"1459","Merbau Basah 100 x 6 x 15","1","0.009","163800","Balok","Cukup Laris"
"1460","Merbau Basah 270 x 6 x 15","5","0.1215","476280","Balok","Kurang Laris"
"1461","Merbau Basah 280 x 6 x 15","1","0.0252","493920","Balok","Kurang Laris"
"1462","Merbau Basah 290 x 6 x 15","3","0.0783","511560","Balok","Kurang Laris"
"1463","Samarinda Oven 400 x 4 x 30","2","0.096","484800","Papan","Sangat Laris"
"1464","Samarinda Oven 500 x 4 x 30","1","0.06","606000","Papan","Cukup Laris"
"1465","Samarinda Oven 400 x 3 x 30","3","0.108","363600","Papan","Sangat Laris"
"1466","Samarinda Oven 400 x 4 x 20","4","0.128","313600","Papan","Sangat Laris"
"1467","Samarinda Oven 400 x 5 x 15","4","0.12","291000","Balok","Sangat Laris"
"1468","Samarinda Oven 400 x 5 x 25","1","0.05","505000","Balken","Cukup Laris"
"1469","Samarinda Oven 400 x 8 x 15","1","0.048","465600","Balken","Kurang Laris"
"1470","Samarinda Oven 500 x 8 x 15","2","0.12","612000","Balken","Kurang Laris"
"1471","Samarinda Oven 400 x 5 x 15","16","0.48","291000","Balok","Sangat Laris"
"1472","Samarinda Oven 400 x 6 x 15","8","0.288","334800","Balok","Sangat Laris"
"1473","SO Merah 400 x 3 x 20","1","0.024","223200","Papan","Sangat Laris"
"1474","Samarinda Oven 400 x 4 x 25","2","0.08","396000","Papan","Sangat Laris"
"1475","Samarinda Oven 400 x 6 x 12","5","0.144","267840","Balok","Sangat Laris"
"1476","Merbau Oven 400 x 5 x 15","8","0.24","618000","Balok","Kurang Laris"
"1477","Merbau Oven 500 x 5 x 15","21","0.7875","791250","Balok","Cukup Laris"
"1478","Merbau Basah 100 x 6 x 15","11","0.099","163800","Balok","Cukup Laris"
"1479","Merbau Basah 120 x 6 x 15","2","0.0216","196560","Balok","Kurang Laris"
"1480","Merbau Basah 250 x 6 x 15","5","0.1125","454500","Balok","Cukup Laris"
"1481","Merbau Basah 90 x 6 x 15","12","0.0972","147420","Balok","Cukup Laris"
"1482","Samarinda Oven 400 x 3 x 25","2","0.06","297000","Papan","Sangat Laris"
"1483","Samarinda Oven 400 x 3 x 30","1","0.036","363600","Papan","Sangat Laris"
"1484","Samarinda Oven 400 x 4 x 20","3","0.096","313600","Papan","Sangat Laris"
"1485","Samarinda Oven 400 x 6 x 15","1","0.036","334800","Balok","Sangat Laris"
"1486","Samarinda Oven 500 x 4 x 30","1","0.06","606000","Papan","Cukup Laris"
"1487","Samarinda Oven 500 x 6 x 15","1","0.045","441000","Balok","Cukup Laris"
"1488","Merbau Oven 500 x 8 x 15","2","0.12","1266000","Balken","Kurang Laris"
"1489","Samarinda Oven 400 x 3 x 30","6","0.216","363600","Papan","Sangat Laris"
"1490","Samarinda Oven 500 x 4 x 30","7","0.42","606000","Papan","Cukup Laris"
"1491","Merbau Oven 500 x 5 x 25","6","0.375","1425000","Balken","Kurang Laris"
"1492","Merbau Oven 500 x 6 x 17","1","0.051","1091400","Balok","Kurang Laris"
"1493","Merbau Oven 250 x 6 x 17","12","0.306","531675","Balok","Cukup Laris"
"1494","SO Merah 400 x 3 x 20","85","2.04","223200","Papan","Sangat Laris"
"1495","Samarinda Oven 400 x 4 x 30","1","0.048","484800","Papan","Sangat Laris"
"1496","Samarinda Oven 450 x 6 x 15","2","0.081","396900","Balok","Cukup Laris"
"1497","Merbau Oven 400 x 6 x 12","4","0.1152","578880","Balok","Cukup Laris"
"1498","Merbau Oven 400 x 6 x 15","1","0.036","723600","Balok","Cukup Laris"
"1499","Merbau Oven 400 x 6 x 12","2","0.0576","578880","Balok","Cukup Laris"
"1500","Merbau Oven 500 x 6 x 12","3","0.108","741600","Balok","Kurang Laris"
"1501","Samarinda Oven 400 x 8 x 15","1","0.048","465600","Balken","Kurang Laris"
"1502","Samarinda Oven 450 x 6 x 17 ","6","0.2754","468180","Balok","Kurang Laris"
"1503","Merbau Oven 250 x 6 x 15","12","0.27","463500","Balok","Sangat Laris"
"1504","Merbau Oven 300 x 6 x 15","18","0.486","540000","Balok","Cukup Laris"
"1505","Merbau Oven 200 x 4 x 30","1","0.024","537600","Papan","Kurang Laris"
"1506","Merbau Oven 400 x 5 x 15","2","0.06","618000","Balok","Kurang Laris"
"1507","Merbau Oven 400 x 6 x 15","5","0.18","723600","Balok","Cukup Laris"
"1508","Merbau Oven 500 x 5 x 15","2","0.075","791250","Balok","Cukup Laris"
"1509","SO Merah 400 x 3 x 20","2","0.048","223200","Papan","Sangat Laris"
"1510","Samarinda Oven 400 x 4 x 25","1","0.04","396000","Papan","Sangat Laris"
"1511","Samarinda Oven 400 x 6 x 12","4","0.1152","267840","Balok","Sangat Laris"
"1512","Samarinda Oven 500 x 4 x 20","1","0.04","392000","Papan","Sangat Laris"
"1513","Merbau Basah 400 x 5 x 10","1","0.02","404000","Balok","Kurang Laris"
"1514","Samarinda Oven 400 x 5 x 15","1","0.03","291000","Balok","Sangat Laris"
"1515","Samarinda Oven 400 x 3 x 30","8","0.288","363600","Papan","Sangat Laris"
"1516","Samarinda Oven 400 x 4 x 20","12","0.384","313600","Papan","Sangat Laris"
"1517","Meranti Oven 400 x 3 x 30","6","0.216","307800","Papan","Kurang Laris"
"1518","Meranti Oven  400 x 4 x 25","6","0.24","322000","Papan","Cukup Laris"
"1519","Samarinda Oven 400 x 4 x 30","1","0.048","484800","Papan","Sangat Laris"
"1520","Samarinda Oven 500 x 4 x 30","8","0.48","606000","Papan","Cukup Laris"
"1521","SO Merah 400 x 3 x 20","22","0.528","223200","Papan","Sangat Laris"
"1522","Samarinda Oven 400 x 4 x 20","3","0.096","313600","Papan","Sangat Laris"
"1523","Samarinda Oven 400 x 4 x 25","3","0.12","396000","Papan","Sangat Laris"
"1524","Samarinda Oven 400 x 4 x 30","1","0.048","484800","Papan","Sangat Laris"
"1525","Samarinda Oven 400 x 5 x 15","1","0.03","291000","Balok","Sangat Laris"
"1526","Meranti Oven  400 x 3 x 25","2","0.06","234000","Papan","Kurang Laris"
"1527","Meranti Oven 400 x 4 x 30","1","0.048","398400","Papan","Kurang Laris"
"1528","Merbau Oven 500 x 6 x 12","1","0.036","741600","Balok","Kurang Laris"
"1529","Merbau Basah 110 x 6 x 15","1","0.0099","180180","Balok","Kurang Laris"
"1530","Samarinda Oven 400 x 3 x 25","2","0.06","297000","Papan","Sangat Laris"
"1531","Samarinda Oven 400 x 4 x 30","1","0.048","484800","Papan","Sangat Laris"
"1532","Samarinda Oven 500 x 3 x 30","2","0.09","454500","Papan","Kurang Laris"
"1533","Samarinda Oven 400 x 3 x 30","2","0.072","374400","Papan","Sangat Laris"
"1534","Samarinda Oven 400 x 4 x 20","4","0.128","323200","Papan","Sangat Laris"
"1535","Samarinda Oven 400 x 4 x 25","2","0.08","408000","Papan","Sangat Laris"
"1536","Samarinda Oven 450 x 6 x 15","1","0.0405","409050","Balok","Cukup Laris"
"1537","Samarinda Oven 500 x 4 x 30","3","0.18","624000","Papan","Cukup Laris"
"1538","Merbau Oven 400 x 4 x 25","2","0.08","876000","Papan","Cukup Laris"
"1539","Merbau Oven 400 x 6 x 15","4","0.144","723600","Balok","Cukup Laris"
"1540","Merbau Oven 250 x 4 x 25","10","0.25","547500","Papan","Cukup Laris"
"1541","Merbau Oven 250 x 6 x 15","4","0.09","463500","Balok","Sangat Laris"
"1542","Merbau Oven 400 x 5 x 15","1","0.03","618000","Balok","Kurang Laris"
"1543","Merbau Oven 500 x 5 x 15","1","0.0375","791250","Balok","Cukup Laris"
"1544","Merbau Oven 500 x 6 x 15","1","0.045","927000","Balok","Cukup Laris"
"1545","Merbau Oven 250 x 4 x 20","2","0.04","436000","Papan","Cukup Laris"
"1546","Merbau Oven 400 x 3 x 30","2","0.072","806400","Papan","Cukup Laris"
"1547","Merbau Oven 250 x 4 x 20","2","0.04","436000","Papan","Cukup Laris"
"1548","Merbau Oven 250 x 4 x 30","3","0.09","672000","Papan","Kurang Laris"
"1549","Merbau Oven 300 x 4 x 20","2","0.048","523200","Papan","Kurang Laris"
"1550","Merbau Basah 400 x 3 x 25","1","0.03","645000","Papan","Kurang Laris"
"1551","Samarinda Oven 400 x 3 x 30","2","0.072","374400","Papan","Sangat Laris"
"1552","Meranti Oven  400 x 4 x 25","8","0.32","312000","Papan","Cukup Laris"
"1553","Meranti Oven  400 x 6 x 15","4","0.144","244800","Balok","Sangat Laris"
"1554","Merbau Basah 100 x 6 x 15","1","0.009","163800","Balok","Cukup Laris"
"1555","Merbau Basah 120 x 6 x 15","1","0.0108","196560","Balok","Kurang Laris"
"1556","Merbau Basah 230 x 6 x 15","2","0.0414","405720","Balok","Cukup Laris"
"1557","Merbau Basah 400 x 2 x 20","3","0.048","382400","Papan","Cukup Laris"
"1558","Merbau Basah 400 x 2 x 30","9","0.216","588000","Papan","Kurang Laris"
"1559","Samarinda Oven 400 x 5 x 15","2","0.06","300000","Balok","Sangat Laris"
"1560","Samarinda Oven 500 x 4 x 25","2","0.1","510000","Papan","Sangat Laris"
"1561","Samarinda Oven 500 x 4 x 30","1","0.06","624000","Papan","Cukup Laris"
"1562","Samarinda Oven 400 x 3 x 30","4","0.144","374400","Papan","Sangat Laris"
"1563","Samarinda Oven 400 x 4 x 20","2","0.064","323200","Papan","Sangat Laris"
"1564","Samarinda Oven 400 x 6 x 12","3","0.0864","276480","Balok","Sangat Laris"
"1565","Samarinda Oven 500 x 6 x 15","6","0.27","454500","Balok","Cukup Laris"
"1566","Merbau Oven 400 x 3 x 30","1","0.036","806400","Papan","Cukup Laris"
"1567","Merbau Oven 250 x 4 x 20","20","0.4","436000","Papan","Cukup Laris"
"1568","Samarinda Oven 500 x 5 x 15","5","0.1875","393750","Balok","Sangat Laris"
"1569","Merbau Oven 400 x 3 x 25","1","0.03","657000","Papan","Kurang Laris"
"1570","Merbau Oven 500 x 3 x 20","1","0.03","669000","Papan","Kurang Laris"
"1571","Merbau Oven 500 x 3 x 25","1","0.0375","840000","Papan","Kurang Laris"
"1572","Samarinda Oven 400 x 3 x 30","12","0.432","374400","Papan","Sangat Laris"
"1573","Merbau Basah 150 x 6 x 15","1","0.0135","245700","Balok","Cukup Laris"
"1574","Merbau Oven 500 x 3 x 25","1","0.0375","840000","Papan","Kurang Laris"
"1575","Samarinda Oven 400 x 4 x 30","13","0.624","499200","Papan","Sangat Laris"
"1576","Merbau Basah 260 x 6 x 15","1","0.0234","458640","Balok","Cukup Laris"
"1577","Merbau Oven 400 x 6 x 15","2","0.072","723600","Balok","Cukup Laris"
"1578","Merbau Basah 100 x 6 x 15","20","0.18","163800","Balok","Cukup Laris"
"1579","Merbau Basah 260 x 6 x 15","20","0.468","458640","Balok","Cukup Laris"
"1580","Samarinda Oven 400 x 3 x 25","1","0.03","306000","Papan","Sangat Laris"
"1581","Samarinda Oven 400 x 3 x 30","3","0.108","374400","Papan","Sangat Laris"
"1582","Samarinda Oven 400 x 4 x 25","1","0.04","408000","Papan","Sangat Laris"
"1583","Samarinda Oven 500 x 4 x 30","3","0.18","624000","Papan","Cukup Laris"
"1584","Samarinda Oven 500 x 5 x 15","1","0.0375","393750","Balok","Sangat Laris"
"1585","Meranti Oven 400 x 3 x 30","1","0.036","298800","Papan","Kurang Laris"
"1586","SO Merah 400 x 6 x 15","2","0.072","327600","Balok","Kurang Laris"
"1587","Samarinda Oven 300 x 6 x 15","1","0.027","259200","Balok","Sangat Laris"
"1588","Samarinda Oven 400 x 6 x 15","1","0.036","345600","Balok","Sangat Laris"
"1589","Samarinda Oven 450 x 4 x 20","1","0.036","363600","Papan","Kurang Laris"
"1590","Merbau Oven 250 x 6 x 15","1","0.0225","463500","Balok","Sangat Laris"
"1591","Merbau Oven 400 x 3 x 25","2","0.06","657000","Papan","Kurang Laris"
"1592","Merbau Oven 400 x 5 x 15","2","0.06","618000","Balok","Kurang Laris"
"1593","Merbau Oven 450 x 4 x 25","2","0.09","1008000","Papan","Kurang Laris"
"1594","Meranti Oven  400 x 6 x 12 ","3","0.0864","195840","Balok","Cukup Laris"
"1595","Merbau Basah 100 x 6 x 15","5","0.045","163800","Balok","Cukup Laris"
"1596","Merbau Basah 210 x 6 x 15","10","0.189","370440","Balok","Kurang Laris"
"1597","Samarinda Oven 400 x 4 x 20","1","0.032","323200","Papan","Sangat Laris"
"1598","Samarinda Oven 400 x 4 x 25","1","0.04","408000","Papan","Sangat Laris"
"1599","Samarinda Oven 300 x 4 x 30","1","0.036","374400","Papan","Kurang Laris"
"1600","Meranti Oven  400 x 3 x 25","1","0.03","241500","Papan","Kurang Laris"
"1601","Meranti Oven  400 x 6 x 15","4","0.144","253800","Balok","Sangat Laris"
"1602","Samarinda Oven 500 x 6 x 17","4","0.204","550800","Balok","Cukup Laris"
"1603","Merbau Basah 160 x 6 x 15","1","0.0144","262080","Balok","Kurang Laris"
"1604","Merbau Basah 250 x 6 x 15","2","0.045","454500","Balok","Cukup Laris"
"1605","Merbau Basah 100 x 6 x 15","4","0.036","163800","Balok","Cukup Laris"
"1606","Merbau Basah 140 x 6 x 15","6","0.0756","229320","Balok","Kurang Laris"
"1607","Merbau Basah 150 x 6 x 15","9","0.1215","245700","Balok","Cukup Laris"
"1608","Merbau Basah 230 x 6 x 15","8","0.1656","405720","Balok","Cukup Laris"
"1609","Samarinda Oven 500 x 6 x 15","7","0.315","454500","Balok","Cukup Laris"
"1610","Merbau Oven 400 x 4 x 20","1","0.032","697600","Papan","Kurang Laris"
"1611","SB Basah 400 x 8 x 15","1","0.048","460800","Balken","Kurang Laris"
"1612","Samarinda Oven 400 x 6 x 12","4","0.1152","276480","Balok","Sangat Laris"
"1613","Merbau Oven 400 x 3 x 25","1","0.03","657000","Papan","Kurang Laris"
"1614","Merbau Oven 400 x 5 x 30","1","0.06","1344000","Balken","Kurang Laris"
"1615","Merbau Basah 260 x 6 x 15","6","0.1404","458640","Balok","Cukup Laris"
"1616","Samarinda Oven 400 x 3 x 30","4","0.144","374400","Papan","Sangat Laris"
"1617","Samarinda Oven 400 x 4 x 25","2","0.08","408000","Papan","Sangat Laris"
"1618","Samarinda Oven 400 x 4 x 30","1","0.048","499200","Papan","Sangat Laris"
